ILL	频率
J80  01	51
M54.551	51
C71.601	51
462  01	51
205.001 M98610/3	51
S68.401	50
780.001	50
R53  03	50
239.002	50
944.001	50
348.101	50
362.803	50
T81.402	50
C65  01	50
070.908+573.101*	50
706.202	50
S83.101	50
752.501	50
T18.101	50
D32.032	50
558  19	49
196.901	49
K86.201	49
I25.203	49
S52.911	49
I97.801	49
M51.202	49
959.106	49
V89.201	49
E06.902	49
J86.901	49
D48.003	49
571.101	49
272.001	49
S02.802	49
V58.002	49
T31.701	49
S23.502	49
S64.701	49
784.202	49
E04.901	49
S82.011	49
K57.301	48
C55  01	48
C85.902 M95900/3	48
S56.501	48
425.402	48
J45.902	48
C84.401	48
L50.801	48
289.901	48
G31.101	48
696.104	48
O13  02	48
N13.801	48
412  03	48
386.001	48
I63.802	48
O40  01	48
541  01	48
K83.107	48
S83.201	48
C92.003 M98610/3	48
537.001	47
892.002	47
M48.021	47
924.901	47
Q22.802	47
808.401	47
276.201	47
745.502	47
208.010 M98010/3	47
362.401	47
S51.901	47
K62.901	47
I33.006	47
892.001	47
Z98.811	47
D22.501	47
835.001	47
M90800/0	47
652.201	47
644.102	47
K65.901	47
N83.802	47
885.002	47
364.303	47
208.001 M98010/3	47
W31.902	47
C77.102	47
746.101	47
S02.501	47
591  01	47
281.902	47
C43.601	47
L10.901	47
C22.901	47
070.306+573.101*	47
S09.903	47
G21.901	46
S37.001	46
921.103	46
C77.201	46
F51.001	46
I51.401	46
Z85.403	46
R22.201	46
D58.901	46
T14.602	46
N18.803	46
H33.201	46
569.409	46
N34.202	46
A09.902	46
S92.011	46
V45.802	46
821.201	46
I83.907	46
825.101	46
I40.803	46
196.201	46
N32.901	46
W87.901	46
D46.902 M99800/1	46
922.302	46
567.203	46
S06.202	45
832.001	45
B18.106	45
E816.901	45
813.103	45
H35.002	45
S83.701	45
S49.801	45
S71.102	45
M84.193	45
Z91.601	45
630  01	45
211.102	45
N87.102	45
A63.001	45
Z51.102	45
573.815	45
844.801	45
S52.211	45
E87.401	45
892.201	45
720.001	45
379.204	45
M60.992	45
250.101	44
C78.601	44
530.201	44
G95.902	44
F45.302	44
627.101	44
531.902	44
M25.993	44
881.201	44
I47.105	44
K80.409	44
J84.102	44
D32.010	44
C91.001 M98210/3	44
V02.601	44
S93.101	44
801.003	44
R09.101	44
239.601	44
M25.551	44
G71.002	44
L85.001	43
I89.101	43
I77.109	43
S46.201	43
R22.202	43
K05.501	43
M88000/3	43
572.301	43
R59.903	43
N13.503	43
513.001	43
553.202	43
281.903	43
Z50.104	43
412  01	43
R59.103	43
844.001	43
891.001	43
564.903	43
395.201	43
726.902	43
O33.902	43
N83.102	43
C76.003	43
285.901	43
I21.001	43
E75.503	43
O03.901	43
584.901	43
L28.101	43
453.901	43
Q51.201	42
C02.901	42
348.002	42
K40.201	42
E924.001	42
634.902	42
C79.503	42
K72.904	42
T13.001	42
Z35.501	42
156.105	42
V58.116	42
K42.902	42
L08.915	42
922.202	42
I44.201	42
N85.101	42
474.104	42
C76.304	42
572.001	42
I62.002	42
G04.902	42
K22.201	42
239.702	42
I45.502	42
L29.901	42
C24.101	42
S32.701	41
M20.001	41
372.004	41
374.002	41
C60.901	41
Z51.019	41
C83.802 M96730/3	41
590.001	41
H51.901	41
O36.401	41
473.901	41
Z98.880	41
T81.808	41
070.107+573.101*	41
R53  01	41
Z90.005	41
R57.001	41
Z50.103	41
660.302	41
Q55.602	41
W06.901	41
208.004 M98010/3	41
I20.801	41
569.808	41
425.405	41
Z86.301	41
G62.902	41
D32.006	41
437.001	41
834.101	41
D73.004	41
D35.001	41
C24.007	41
747.301	41
N73.902	41
G61.001	41
692.907	41
785.505	41
794.301	40
M25.511	40
R55  04	40
958.401	40
K86.101	40
942.001	40
M02.991	40
S42.403	40
L91.001	40
K31.501	40
T85.704	40
428.001	40
D48.708	40
359.301	40
928.901	40
O24.301	40
652.501	40
K65.007	40
R68.301	40
V25.201	40
K91.839	40
M47.993	40
L08.804	40
112.102+616.103*	40
K02.901	40
Z90.403	40
801.004	40
L02.411	40
H35.601	40
825.302	40
568.001	40
478.509	40
Z98.826	40
Q53.901	40
H16.001	40
533.501	40
B19.901	40
S81.701	40
V58.130	40
E14.501	40
594.201	40
194.001	40
639.102	39
311  01	39
R60.002	39
780.204	39
C21.101	39
519.801	39
Z98.862	39
J32.103	39
820.002	39
N05.904	39
H25.201	39
M99.901	39
245.101	39
885.001	39
M25.991	39
V43.302	39
L02.405	39
733.202	39
C18.101	39
G35  01	39
K58.901	39
812.402	39
H91.901	39
S83.001	39
I05.001	39
I63.904	39
K72.004	39
895.001	39
I64  04	39
L73.901	39
151.201	39
S42.301	39
N80.102	39
M82101/0	39
S41.001	39
836.101	39
M84800/3	39
980.901	39
C48.201	39
K27.102	39
N61  02	39
844.101	39
S37.303	39
814.002	39
H65.903	38
V45.853	38
C07  01	38
153.601	38
J94.201	38
M92200/0	38
941.001	38
K92.901	38
J42  04	38
S13.101	38
S09.907	38
528.901	38
S76.101	38
A18.019+M49.004*	38
N97.902	38
K70.101	38
C62.101	38
A18.017+M49.002*	38
Z98.875	38
Z30.501	38
D13.201	38
838.001	38
S22.401	38
S80.001	38
I47.106	38
S02.002	38
E11.101	38
O99.803	38
D30.301	38
K05.204	38
197.804	37
H66.904	37
844.901	37
628.902	37
604.907	37
N81.601	37
L02.103	37
G91.101	37
B09  01	37
I42.101	37
D16.103	37
S71.103	37
464.301	37
Z98.843	37
O32.201	37
759.204	37
K86.301	37
N15.101	37
714.001	37
D39.101	37
M51.401	37
I74.301	37
M65.961	37
959.302	37
780.501	37
K21.903	37
X84.901	37
785.101	37
J86.902	37
I25.202	37
586  01	37
V45.848	36
213.901	36
O46.901	36
535.502	36
S86.902	36
813.003	36
646.101	36
142.001	36
L03.901	36
H11.302	36
478.105	36
C25.101	36
727.301	36
904.503	36
Q67.801	36
S30.003	36
N28.901	36
186.901	36
814.001	36
211.103	36
H47.201	36
812.003	36
I87.101	36
H11.301	36
959.705	36
N26  03	36
592.901	36
E10.504	36
345.102	36
511.902	36
I80.902	36
300.901	36
813.102	36
R19.003	36
N28.808	36
A59.001	36
N95.101	36
881.003	36
Y86  01	35
V45.847	35
D46.901	35
M20.102	35
K75.802	35
C77.205	35
K82.902	35
G51.301	35
D32.012	35
L02.901	35
I21.909	35
J43.903	35
K50.001	35
J98.503	35
C44.202	35
I69.802	35
250.004	35
G93.905	35
T91.102	35
G82.502	35
L65.903	35
E27.806	35
L08.902	35
365.602	35
E884.201	35
621.001	35
J86.006	35
905.104	35
S21.901	35
N36.201	35
G93.601	35
565.001	35
K12.107	35
319  02	34
K05.301	34
722.601	34
993.202	34
903.101	34
N39.003	34
Z43.004	34
R00.002	34
S46.301	34
Z85.901	34
L08.906	34
G93.818	34
E87.801	34
L02.204	34
M45  91	34
599.001	34
Z93.101	34
I12.908	34
N61  08	34
S92.202	34
681.901	34
I95.901	34
M82110/0	34
M96800/3	34
S46.001	34
300.401	34
G72.302	34
S34.301	34
583.905	34
S82.411	34
S74.001	34
S84.002	34
527.603	34
K62.801	34
E962.901	34
D72.802	34
802.401	34
952.901	34
785.504	34
754.801	34
618.101	34
S81.905	34
627.001	34
211.401	34
I87.201	33
I12.909	33
Z98.879	33
C85.706    B	33
I71.902	33
424.301	33
T42.402	33
993.001+381.002*	33
S93.102	33
873.602	33
379.201	33
S27.001	33
M80000/1	33
607.102	33
864.001	33
G91.001	33
824.101	33
197.201	33
310.202	33
261  01	33
427.002	33
523.402	33
441.401	33
D18.001	33
G04.906	33
N75.001	33
920  04	33
Q66.804	33
E23.701	33
M87200/3	33
S93.301	33
173.901	33
598.901	33
C70.001	33
C88.001	33
905.401	33
I77.604	33
C14.001	33
S01.807	33
716.101	33
M54.564	33
M19.811	33
927.101	33
R22.902	33
289.101	33
357.001	33
V89.202	33
I38  01	33
345.301	33
D48.114	32
T11.601	32
I61.102	32
831.002	32
C79.101	32
G70.001	32
I37.001	32
959.601	32
O14.901	32
D12.801	32
121.102	32
834.001	32
S82.611	32
N87.002	32
V58.005	32
B35.101	32
692.905	32
296.601	32
M89320/0	32
E14.408+G63.203*	32
O45.901	32
389.901	32
887.001	32
L02.410	32
213.503	32
Z30.201	32
K04.001	32
854.001	32
617.102	32
I64  03	32
B27.901	32
G31.802+F02.801*	32
959.107	32
J96.001	32
D48.303	32
921.303	32
D69.302	32
492  04	32
N95.001	32
370.001	32
T60.901	32
S05.103	31
923.001	31
V44.501	31
J35.201	31
A86.002	31
881.004	31
A41.903	31
T11.103	31
I95.101	31
171.901	31
K31.601	31
D16.601	31
204.004 M98210/3	31
427.808	31
284.804	31
378.102	31
H81.001	31
L05.902	31
K22.104	31
B18.208	31
172.701	31
426.401	31
S08.001	31
782.801	31
239.803	31
K66.001	31
245.201	31
J32.902	31
R20.801	31
E83.104	31
O21.101	31
K52.905	31
D47.102	31
868.005	31
J37.001	31
R80  01	31
I50.102	31
746.805	31
A04.903	31
C17.901	31
I67.102	31
L02.412	31
I48  02	31
D23.504	30
N70.904	30
905.301	30
943.201	30
639.101	30
C80  01	30
T11.101	30
C05.901	30
473.101	30
S30.103	30
070.308+573.101*	30
423.201	30
I42.202	30
C79.814	30
757.601	30
D32.002	30
C16.301	30
179  01	30
K70.901	30
M24.091	30
Z51.016	30
S31.801	30
204.002 M98210/3	30
M61.591	30
I61.302	30
182.002	30
R93.201	30
620.804	30
L25.102	30
300.303	30
608.801	30
805.601	30
Q85.001	30
N43.301	30
C24.002	30
388.301	29
T79.603	29
427.303	29
N39.001	29
459.004	29
M82630/0	29
364.202	29
M71.392	29
N60.202	29
S39.903	29
Q85.907	29
I20.802	29
839.001	29
I50.907	29
466.004	29
M88610/0	29
E925.901	29
S68.901	29
M33.101	29
I36.102	29
785.403	29
Z43.204	29
574.104	29
K73.901	29
G44.102	29
756.102	29
117.904	29
Z85.701	29
M71.391	29
K62.802	29
225.102	29
I25.206	29
K56.101	29
745.102	29
Q44.601	29
871.701	29
X49.908	29
V54.008	29
D48.707	29
E53.806+G32.005*	29
V58.007	29
810.101	29
719.401	29
798.101	29
K35.003	29
T81.301	29
552.001	29
E916  01	29
M95910/3	29
346.901	29
367.101	29
K81.004	29
S84.701	29
B18.204	29
431  04	29
L02.413	29
I34.804	29
I77.601	28
611.101	28
825.205	28
I70.903	28
H40.204	28
617.902	28
S77.101	28
H68.102	28
C72.001	28
T92.102	28
K63.204	28
C38.402	28
692.902	28
R21  02	28
F31.901	28
Z90.501	28
K83.013	28
599.301	28
527.201	28
G52.802	28
884.002	28
927.001	28
R22.903	28
T91.201	28
H34.802	28
G06.002	28
813.402	28
879.802	28
K52.908	28
M79.671	28
S82.301	28
H35.602	28
633.202	28
Q50.501	28
012.001	28
008.401	28
L90.506	28
577.101	28
I50.908	28
287.402	28
K82.803	28
M31.301	28
532.501	28
O36.301	28
414.803	28
I67.901	28
Z98.867	28
O64.001	28
570  06	28
070.509+573.101*	28
Q69.901	28
853.003	28
S47  01	28
921.301	28
C85.901 M95900/3	28
C03.901	28
C45.001	28
572.801	28
210.205	28
F95.901	28
214  10	28
998.301	28
S92.701	28
V51  02	27
756.101	27
T78.201	27
Z98.840	27
405.901	27
V45.845	27
L08.914	27
424.901	27
070.903+573.101*	27
C95.002	27
M47.922	27
S32.402	27
E11.501	27
O01.101	27
P59.801	27
I08.009	27
E917.002	27
S73.101	27
I38  02	27
V45.841	27
N02.902	27
J36  02	27
L88  01	27
941.102	27
O36.601	27
138  01	27
N20.102	27
Q43.801	27
941.201	27
V42.803	27
C92.001 M98610/3	27
S33.101	27
K62.816	27
953.401	27
780.203	27
765.101	27
959.301	27
Q67.701	27
C71.201	27
D36.701	27
526.202	27
N73.401	27
078.103	27
Z98.865	27
R09.201	27
N30.001	26
949.001	26
475  02	26
Z98.863	26
D22.301	26
H91.902	26
G50.901	26
427.902	26
C41.203	26
070.514+573.101*	26
H35.701	26
N30.804	26
756.113	26
S83.603	26
M54.221	26
227.301	26
S13.201	26
583.804	26
A18.302+K67.301*	26
D17.001	26
Z98.802	26
250.201	26
G56.103	26
802.201	26
577.201	26
J44.801	26
S82.813	26
567.906	26
733.803	26
836.501	26
G62.901	26
V45.820	26
942.201	26
204.901 M98200/3	26
528.002	26
M96.801	26
M89.992	26
G54.001	26
C95.003 M98010/3	26
015.004+730.404*	26
K80.401	26
362.804	26
729.601	26
N76.002	26
S93.103	26
729.401	25
S32.201	25
M62.491	25
959.006	25
X51.301	25
L08.917	25
S68.801	25
N47  03	25
D65  01	25
T13.102	25
D16.202	25
K22.801	25
N20.104	25
680.501	25
G95.201	25
894.001	25
I35.101	25
S65.501	25
C77.501	25
M94400/3	25
L91.801	25
B00.902	25
356.902	25
H02.401	25
M92100/0	25
437.102	25
880.001	25
627.201	25
366.201	25
L85.802	25
204.101 M98230/3	25
R52.901	25
836.301	25
893.001	25
205.002 M98611/3	25
213.701	25
D53.902	25
M79.292	25
T26.401	25
I47.202	25
214  02	25
686.904	25
M84.091	25
K80.403	25
F03  03	25
211.001	25
S04.001	25
V58.119	25
799.002	25
K76.903	25
S06.802	25
E85.412+L99.001*	25
J04.102	25
427.604	25
C68.001	24
S76.701	24
R00.001	24
389.201	24
N49.203	24
D69.301	24
N42.901	24
T87.201	24
597.804	24
W49.901	24
686.109	24
A18.804	24
465.001	24
I46.101	24
M81600/3	24
567.905	24
845.003	24
755.001	24
M82600/3	24
434.901	24
H30.901	24
S45.102	24
S85.801	24
518.803	24
558  05	24
S45.101	24
070.510+573.101*	24
562.001	24
151.302	24
290.402	24
N76.003	24
225.208	24
L02.205	24
429.001	24
140.001	24
564.101	24
Z94.804	24
I67.107	24
H40.401	24
K83.002	24
225.403	24
502  02	24
K20  01	24
R50.903	24
M85600/3	24
O03.902	24
153.301	24
431  09	24
C76.002	24
S09.901	24
H72.901	24
J02.901	24
D18.042	24
D13.601	24
D36.707	24
M94.881	24
M95300/0	24
L28.202	24
N89.803	24
444.203	24
N48.103	24
V58.013	24
Z51.118	24
824.301	24
623.802	24
M62.891	24
N83.502	24
C76.102	24
D36.705	24
998.507	24
709.201	24
423.901	23
K51.902	23
D06.001	23
Q23.101	23
M94.891	23
C71.101	23
J98.903	23
T31.801	23
717.504	23
W12.901	23
M21.572	23
E816.801	23
I45.601	23
240.901	23
701.401	23
844.201	23
J81  01	23
320.902	23
887.002	23
T79.701	23
Z51.129	23
N86  01	23
H47.001	23
576.101	23
S04.502	23
656.401	23
M16.901	23
J38.202	23
821.301	23
462  04	23
K52.920	23
T79.602	23
L27.002	23
768.901	23
K26.401	23
S83.403	23
615.101	23
M65.091	23
812.404	23
172.901	23
H47.003	23
H02.301	23
S31.002	23
S93.002	23
M83100/3	23
T04.301	23
M72.991	23
W39.901	23
070.909+573.101*	23
Z98.812	23
Z98.868	23
717.503	23
716.808	23
D37.502	23
746.601	23
729.204	23
789.302	23
L05.901	23
N34.301	23
791.101	23
Q27.001	23
K22.813	23
Q18.103	22
K65.002	22
I47.103	22
A17.801+G05.001*	22
Q66.801	22
C09.901	22
I47.109	22
M10.002+N16.802*	22
424.905	22
N44  01	22
717.301	22
K31.821	22
S93.004	22
E10.102	22
950.001	22
B49  01	22
534.902	22
Z90.101	22
708.801	22
374.001	22
744.402	22
198.503	22
N32.301	22
Q22.101	22
110.401	22
593.302	22
Q23.801	22
M25.461	22
V45.822	22
577.006	22
F41.101	22
D39.201 M91000/1	22
372.702	22
M94000/3	22
571.402	22
756.801	22
L63.901	22
K92.001	22
Z85.006	22
E87.804	22
F31.902	22
L02.206	22
959.201	22
364.301	22
S82.511	22
995.201	22
475  01	22
H70.902	22
331.402	22
L02.207	22
833.002	22
214  15	22
220  01	22
D47.101 M99600/1	22
622.802	22
715.302	22
R02  05	22
M22.461	22
L72.002	22
T63.401	22
G70.907	22
847.001	22
N13.501	22
483  01	22
H90.501	22
N70.903	22
N28.810	22
K31.808	22
959.004	22
D25.101	22
426.601	22
785.603	22
253.501	22
H10.301	22
903.801	22
348.301	22
228.001	21
904.802	21
410  21	21
Z94.801	21
530.002	21
683  01	21
225.209	21
Q90.901	21
C01  01	21
E903  01	21
L04.904	21
921.101	21
242.002	21
J34.104	21
836.001	21
O72.004	21
C51.901	21
B00.901	21
X47.903	21
851.003	21
C16.801	21
V51  01	21
S06.905	21
S37.302	21
B49  02	21
204.003 M98210/3	21
S02.811	21
N61  04	21
L20.807	21
D12.901	21
441.602	21
285.903	21
K56.001	21
805.602	21
Z37.201	21
I35.802	21
848.801	21
P21.902	21
879.201	21
206.001 M98910/3	21
959.102	21
G44.001	21
920  03	21
853.001	21
R06.601	21
414.003	21
D32.007	21
S93.601	21
M25.691	21
344.601	21
G11.904	21
F45.903	21
603.903	21
D44.102	21
C40.001	21
J18.101	21
I97.811	21
782.201	21
S00.301	21
S52.101	21
574.405	21
S72.002	21
453.902	21
K52.001	21
N36.801	21
413  02	21
S70.901	21
N13.302	21
373.201	21
C52  01	21
938  02	20
667.002	20
S46.802	20
569.801	20
478.505	20
335.207	20
754.301	20
825.202	20
Q26.401	20
958.801	20
D53.901	20
246.201	20
384.201	20
424.201	20
N80.101	20
198.802	20
806.201	20
L53.901	20
V45.816	20
K44.902	20
540.103	20
432.102	20
840.802	20
I51.707	20
K31.805	20
464.001	20
879.801	20
H90.401	20
C79.001	20
802.402	20
791.001	20
Z51.108	20
151.002	20
751.301	20
G45.002	20
S60.901	20
T93.104	20
D23.701	20
J40  02	20
922.401	20
726.201	20
Q20.001	20
580.903	20
998.101	20
M88300/0	20
N46  05	20
M80900/3	20
L72.902	20
S39.902	20
C71.807	20
G56.302	20
I07.801	20
523.301	20
J04.101	20
N92.601	20
D14.301	20
972.101	20
727.004	20
M60.991	20
N42.101	20
T79.803	20
D16.901	20
897.001	20
812.401	20
H04.503	20
S01.806	20
262  02	20
B17.206	20
K56.703	20
J00  02	20
S88.101	20
158.001	20
M95400/0	20
H21.002	20
K52.915	20
225.001	20
A09.901	20
Z51.017	20
785.502	20
C93.002 M98910/3	20
733.601	20
195.201	20
V58.004	20
730.103	20
J34.301	20
768.601	20
784.004	20
959.003	20
E825.901	20
K83.016	20
M20.101	19
382.905	19
518.501	19
994.801	19
M84.291	19
J06.001	19
478.001	19
887.201	19
C80  02	19
S72.402	19
I49.401	19
F48.001	19
840.801	19
057.901	19
O60  01	19
G30.101	19
Z98.873	19
478.107	19
289.305	19
G56.204	19
873.404	19
941.003	19
070.307+573.101*	19
K56.605	19
745.701	19
M71.362	19
535.101	19
C41.302	19
F42.002	19
E13.901	19
B05.901	19
M67.001	19
D36.706	19
V45.830	19
E868.901	19
M80770/2	19
K72.003	19
596.701	19
923.101	19
M98631/3	19
M89400/0	19
C41.007	19
904.001	19
Q78.801	19
Z51.120	19
E04.102	19
335.202	19
N49.101	19
191.601	19
I25.301	19
C49.001	19
M62.602	19
M92520/0	19
709.205	19
440.902	19
614.401	19
002.001	19
410  04	19
D44.401	19
Y88.301	19
Q23.806	19
L72.005	19
S82.913	19
M80200/3	19
808.403	19
M81200/3	19
H57.001	19
N11.902	19
E28.201	19
494  02	19
072.001+604.906*	19
614.103	19
348.501	19
S14.101	19
N73.201	19
K65.003	19
T93.201	19
E26.002	19
I51.503	19
I51.301	18
I50.911	18
H52.101	18
D33.101	18
K27.404	18
633.103	18
710.201	18
M88900/3	18
Z98.855	18
361.001	18
Z03.101	18
K57.108	18
R06.501	18
I10  08	18
682.606	18
G37.801	18
516.801	18
426.201	18
397.901	18
Z98.809	18
I67.109	18
620.502	18
D21.901	18
Q33.201	18
S36.801	18
D73.901	18
034.101	18
C15.301	18
F95.902	18
B69.001	18
C40.202	18
170.401	18
583.810	18
T84.001	18
T91.104	18
216.601	18
E10.902	18
M82200/0	18
K31.502	18
S09.908	18
460  01	18
M86.993	18
532.401	18
C85.910 M95900/3	18
D37.901	18
S44.301	18
S84.001	18
360.002	18
S43.201	18
I51.706	18
Q25.601	18
C40.002	18
Q23.804	18
K01.101	18
G37.901	18
573.801	18
Z90.404	18
535.503	18
C79.502	18
097.901	18
745.601	18
Z22.502	18
I62.003	18
578.001	18
967.901	18
300.001	18
378.001	18
576.204	18
E05.002+H06.201*	18
611.009	18
H10.402	18
C16.002	18
Z43.501	18
I80.901	18
412  02	18
O69.202	18
J38.001	18
H16.201	18
C78.604	18
B01.901	18
I71.201	18
S37.301	18
374.301	18
447.603	18
C84.403	18
B35.401	18
E27.402	18
N45.904	18
301.901	18
717.401	18
N05.902	18
C40.201	18
070.511+573.101*	18
530.801	18
L20.901	18
783.901	18
N83.103	18
H35.603	18
839.601	18
Q04.303	18
V44.001	18
724.001	18
D22.701	18
395.001	18
212.301	18
E14.602	18
511.806	18
802.101	18
C92.003	18
191.201	18
P05.102	17
366.902	17
Q52.103	17
601.001	17
211.201	17
L98.401	17
S82.201	17
451.203	17
896.001	17
O73.001	17
573.304	17
K91.806	17
N45.903	17
N34.203	17
361.903	17
I67.202+G93.903*	17
Z34.001	17
344.002	17
C48.001	17
H54.001	17
C41.202	17
F45.301	17
K91.803	17
719.901	17
O62.101	17
E46  04	17
K70.001	17
S13.102	17
R82.001	17
624.803	17
426.403	17
E29.103	17
I82.804	17
O69.203	17
250.502+357.201*	17
K25.402	17
E10.302+H36.001*	17
164.001	17
755.102	17
M51.901	17
O72.202	17
C16.201	17
N60.001	17
422.902	17
197.601	17
S36.105	17
Z95.805	17
322.901	17
Q20.401	17
838.002	17
162.501	17
D23.506	17
C18.002	17
054.901	17
N73.602	17
844.102	17
S42.204	17
298.901	17
A18.036+M90.015*	17
N73.801	17
S33.503	17
K85  10	17
N42.802	17
153.401	17
Q79.101	17
H52.102	17
I77.602	17
H18.805	17
721.301	17
Z44.201	17
806.001	17
511.805	17
I08.005	17
156.102	17
626.302	17
K63.307	17
956.201	17
C49.401	17
728.802	17
682.607	17
824.901	17
442.901	17
B07  01	17
084.601	17
C85.907 M95900/3	16
618.002	16
860.001	16
M06.101	16
556  03	16
K29.501	16
A18.007+M01.101*	16
N60.101	16
382.906	16
692.901	16
J38.603	16
K11.206	16
I06.201	16
L02.904	16
648.901	16
C43.901	16
H46  03	16
451.104	16
Z96.101	16
K83.102	16
724.302	16
336.901	16
427.805	16
D16.205	16
641.001	16
F31.201	16
716.102	16
K37  04	16
G96.003	16
G31.801	16
049.901+323.404*	16
223.301	16
V42.801	16
558  21	16
350.102	16
780.701	16
464.102	16
N30.201	16
I21.401	16
905.201	16
817.001	16
B18.105	16
S52.201	16
E14.303+H28.003*	16
H40.504	16
R40.202	16
476.001	16
G93.003	16
S75.001	16
562.004	16
M79.892	16
A03.901	16
H81.304	16
H20.901	16
M17.301	16
H04.502	16
A71.901	16
348.901	16
478.301	16
I21.910	16
536.805	16
M10.992	16
H35.501	16
C24.004	16
M84.421	16
999.901	16
516.301	16
I42.902	16
164.901	16
J95.002	16
G45.801	16
D64.901	16
610.101	16
H49.201	16
202.807	16
227.001	16
610.001	16
D25.001	16
414.902	16
382.301	16
H02.810	16
M86.994	16
I49.001	16
799.104	16
S52.301	16
S30.002	16
323.907	16
S05.804	16
N25.802	16
358.001	16
112.901	16
O10.001	16
T25.001	16
G57.001	16
I82.902	16
O90.806	16
354.201	16
F03  02	16
239.703	16
774.602	16
959.602	15
E21.301	15
M86.962	15
I25.106	15
686.908	15
T20.202	15
I08.006	15
N89.901	15
W54.901	15
G90.301	15
N50.805	15
M24.292	15
S22.011	15
614.207	15
348.804	15
M79.582	15
K25.902	15
C76.502	15
M79.293	15
Z35.209	15
H61.804	15
522.801	15
Z85.101	15
K28.701	15
L40.001	15
604.902	15
S09.801	15
R22.003	15
S12.001	15
C88.001 M97610/3	15
A18.306+K93.003*	15
E923.001	15
D12.601	15
C41.205	15
013.001+320.401*	15
A49.003	15
G04.904	15
833.001	15
M62.482	15
583.901	15
782.203	15
998.605	15
219.901	15
Q28.901	15
I83.202	15
D32.016	15
922.403	15
K83.301	15
D45  01	15
H66.301	15
Q51.202	15
C76.005	15
620.504	15
746.401	15
D32.018	15
952.001	15
510.901	15
242.902+425.701*	15
J90  01	15
L82  01	15
732.901	15
C71.801	15
D72.801	15
924.102	15
D48.706	15
137.001	15
T94.103	15
891.201	15
D48.705	15
J81  02	15
870.803	15
L85.101	15
131.001+616.102*	15
S93.011	15
I67.806	15
344.101	15
G96.002	15
S86.901	15
368.001	15
S02.109	15
070.907+573.101*	15
V45.834	15
140.901	15
123.103	15
428.010	15
239.804	15
143.901	15
278.003	15
Z51.001	15
W77.902	15
215.205	15
364.001	15
K82.804	15
K66.901	15
Z51.135	15
H50.901	15
C71.002	15
F43.101	15
S82.101	15
110.301	15
C15.501	15
454.904	15
241.901	15
530.106	15
D21.505	15
N36.002	15
216.504	15
H04.401	15
573.904	15
I82.201	15
K91.822	15
903.901	15
250.501+337.101*	15
N50.901	15
K27.903	15
543  01	15
M76.671	15
G12.205	15
T31.601	15
374.302	15
L03.902	15
M91210/0	15
H20.903	15
597.802	15
C15.801	15
Y60.901	15
571.506	15
T21.002	15
C76.303	15
C85.903 M95900/3	15
733.910	15
494  03	15
M54.552	15
M95700/0	15
M24.873	14
I45.901	14
A49.002	14
Z85.005	14
780.210	14
G72.301	14
G93.904	14
N28.804	14
K30  02	14
S00.401	14
I50.003	14
927.201	14
680.002	14
J31.001	14
D16.405	14
359.102	14
N00.902	14
D17.103	14
I97.810	14
H00.102	14
410  13	14
T09.301	14
D29.401	14
I47.901	14
W31.901	14
R47.101	14
424.102	14
B15.901	14
C91.003 M98210/3	14
H90.801	14
P15.801	14
250.601+785.407*	14
382.903	14
V45.839	14
239.504	14
369.901	14
375.503	14
191.301	14
N48.803	14
N92.001	14
427.102	14
437.002	14
S61.003	14
075  01	14
472.005	14
878.401	14
M77.021	14
H35.303	14
D21.203	14
E23.003	14
A18.016+M49.001*	14
465.902	14
507.001	14
350.101	14
Q68.102	14
626.401	14
F79.101	14
575.004	14
870.202	14
H40.102	14
I83.002	14
478.506	14
D41.002	14
K65.001	14
530.301	14
S02.402	14
N28.819	14
T20.003	14
B36.002	14
Z98.817	14
884.001	14
M86.972	14
573.306	14
Z98.805	14
626.201	14
362.304	14
190.901	14
806.401	14
D13.102	14
V43.101	14
G44.805	14
B37.902	14
156.201	14
I81  01	14
577.001	14
O80.001	14
515  02	14
276.202	14
M62.897	14
646.701	14
M47.221+G55.201*	14
D30.001	14
M87200/0	14
429.305	14
457.201	14
198.201	14
O04.901	14
N49.001	14
I82.002	14
E85.901	14
H54.401	14
D20.001	14
752.803	14
G24.801	14
274.001+712.002*	14
Q20.301	14
228.019	14
N95.201	14
846.001	14
I25.104	14
540.902	14
Z98.859	14
191.101	14
745.101	14
M53.861	14
T50.903	14
I50.912	13
K22.804	13
J31.101	13
C77.401	13
S36.002	13
G04.912	13
371.701	13
I35.001	13
K22.105	13
427.201	13
R06.001	13
R94.302	13
621.301	13
M99700/1	13
L02.404	13
582.904	13
S00.102	13
M85800/0	13
225.202	13
H34.801	13
Z31.101	13
686.907	13
L70.002	13
E88.903+G99.002*	13
M86.971	13
H60.502	13
E905.601	13
Z98.856	13
J42  01	13
M88300/3	13
N34.201	13
K56.601	13
682.304	13
225.301	13
T92.101	13
890.002	13
921.302	13
695.901	13
O83.101	13
N91.201	13
H20.902	13
R43.801	13
T09.901	13
535.505	13
238.702	13
214  13	13
G95.901	13
656.304	13
C33  01	13
785.404	13
255.403	13
250.705	13
K83.110	13
284.802	13
M84.161	13
718.101	13
M88100/3	13
J38.304	13
M89.899	13
280  02	13
537.101	13
752.104	13
K43.903	13
682.303	13
E924.801	13
I65.205	13
K63.302	13
M23.492	13
715.902	13
H66.902	13
921.202	13
289.902	13
224.901	13
802.801	13
K63.301	13
N84.002	13
O36.502	13
