ILL	频率
M72.591	491
S55.101	490
K60.302	489
I48  01	488
J43.902	486
Z30.504	485
S27.301	485
J18.805	484
N93.802	484
V58.104	483
873.001	483
C73  01	482
S80.102	480
V19.601	478
C11.901	478
S00.803	476
K59.001	476
851.001	476
R40.201	475
S06.201	473
337.902	472
Z90.401	471
Z98.847	469
C83.302	467
L72.101	467
O82.001	467
Z51.015	466
M47.961	466
S82.601	466
428.007	463
L08.919	463
C56  01	458
J93.101	458
197.001	458
M67.402	456
E10.901	455
873.801	455
S00.003	449
E960.001	449
493.903	448
Y04.901	448
823.103	447
S61.001	447
K80.503	446
658.101	445
K80.101	444
Q21.001	444
463  02	443
V45.815	441
I83.901	439
R57.101	438
K31.807	437
C23  01	434
I84.501	431
D73.002	430
I50.906	429
O26.605	429
L30.903	428
J47  01	424
M53.262	423
K29.101	423
V58.111	422
S89.901	421
R00.101	421
G93.503	421
810.001	418
799.101	417
S82.501	414
493.901	412
C90.001 M97320/3	412
W50.302	408
Z96.601	408
K52.913	407
B17.101	404
N18.801	402
I49.303	402
Z51.112	401
435  01	400
Z95.401	399
L97  01	398
669.701	396
E920.801	396
226  01	394
822.001	394
I80.303	394
S72.301	393
G93.809	392
J38.101	392
R55  05	391
M87.851	387
820.802	386
640.001	385
512  02	385
533.902	385
S55.001	384
S06.501	383
276.801	382
C24.005	382
K52.901	381
920  01	381
J34.201	380
R06.003	380
274.902	379
I45.101	377
574.002	376
C67.901	375
D46.901 M99890/1	373
430  02	373
S68.201	371
815.001	369
M54.561	369
S05.105	369
I49.905	368
L08.912	365
820.201	364
I50.103	363
S91.303	362
722.501	361
924.101	361
V45.810	360
N18.804	359
435  03	357
706.201	357
O32.101	357
E87.501	357
959.701	357
626.802	357
S63.102	356
R73.001	355
E14.304+H36.003*	354
O72.101	353
J31.003	352
S69.904	352
R31  01	352
E882  01	351
K76.902	351
923.201	350
542  03	347
H90.502	345
E11.402+G63.202*	342
S83.502	342
332.001	341
S66.903	341
C79.816	341
011.901	340
386.901	339
E04.101	337
573.810	336
D17.101	335
055.901	335
S61.903	334
305.001	334
S98.101	330
S60.201	329
Z51.127	329
T01.901	329
J31.201	329
I42.001	327
K81.901	327
611.701	327
663.101	327
812.201	327
J93.901	326
L30.901	326
456.401	326
I84.901	325
S66.901	324
Q21.101	323
M13.991	322
S54.001	321
I49.102	321
882.002	321
B18.104	320
V71.901	320
J03.903	319
N83.806	319
582.901	319
Z47.003	318
J40  01	318
S82.211	317
823.004	317
780.202	316
R52.202	315
826.001	315
366.101	314
J98.802	313
I24.803	313
S06.401	311
707.001	311
345.901	311
K40.903	311
656.301	311
474.001	310
H25.901	310
M88500/0	310
621.803	310
955.301	309
C54.101	305
211.101	305
M25.491	302
M45.981	302
G45.001	302
154.101	301
N21.001	301
T11.102	301
R47.801	300
S33.502	300
H91.201	299
T02.901	298
454.902	298
852.001	297
A16.207	297
D70  01	296
Z51.103	296
S06.601	296
813.006	296
E72.101	295
N80.001	293
L50.901	293
S90.001	293
I21.301	293
785.503	292
805.201	292
L90.502	291
Z98.874	290
D13.001	290
L89.901	289
O36.801	287
R18  02	286
272.101	286
416.001	284
788.201	284
M79.291	284
K26.902	283
Z90.004	282
K70.301	282
L08.911	282
B02.206+G53.004*	281
035  01	281
205.101 M98630/3	281
428.905	280
556  01	280
250.402+366.401*	279
I20.001	278
K20  04	278
794.802	277
D24  01	276
335.101	276
A41.902	275
T81.408	275
924.902	275
593.201	275
903.501	275
O41.001	274
F32.902	273
471.001	273
J47  02	271
784.701	271
250.401+362.001*	269
E83.501	269
622.701	268
M17.903	268
Z98.818	267
C92.101 M98630/3	267
N84.101	266
478.401	266
M86.991	266
J33.901	266
289.401	264
M79.591	263
Z93.501	262
R04.201	262
883.002	260
I70.901	260
S32.802	260
920  05	260
K92.205	259
M32.901	259
564.001	259
G83.401	259
955.201	258
J30.402	258
Z22.501	258
576.804	258
599.701	257
Y84.901	257
710.001	257
565.101	257
920  02	256
Z98.852	256
S42.101	256
569.902	256
I44.001	256
K29.302	255
842.105	255
Z98.201	254
Z51.007	254
848.901	254
351.802	253
S54.101	253
366.901	252
G82.202	251
S68.001	250
R42  02	250
G20  03	249
903.201	249
S91.301	248
620.201	248
I63.801	248
I84.201	248
K83.106	246
N93.901	246
E86  02	245
921.901	245
I31.304	245
M65.991	244
F06.702	242
M17.901	242
Z51.110	241
B18.202	240
431  06	240
928.201	239
S92.511	239
070.304+573.101*	238
E920.401	238
198.501	238
K80.402	238
I44.301	238
825.201	237
G47.301	236
581.902	236
E15  01	235
L72.001	234
S95.001	234
J98.101	234
R64  01	232
T23.001	231
T07  01	231
T50.902	231
V58.112	230
413  03	230
153.901	229
N73.901	229
D69.403	228
578.903	225
789.501	225
D18.028	224
C18.701	224
560.903	224
Z51.101	223
R57.801	223
I67.802	223
D35.201	223
790.601	223
J43.901	222
H11.001	222
053.901	222
K52.903	221
K83.009	221
S42.201	221
I70.804	220
S71.101	220
S90.301	220
012.006	219
955.602	218
E16.201	218
H52.301	218
I49.501	217
S43.001	217
605  02	216
422.903	216
852.002	216
S62.501	216
T14.002	215
E920.301	215
R16.101	215
V45.001	215
S02.902	215
578.901	214
D33.305	214
566  01	213
S92.101	213
882.202	213
824.201	213
490  04	213
903.301	212
S81.902	212
M71.261	212
R51  01	212
R59.901	212
R02  04	211
I84.301	211
Z51.104	211
R17  01	211
M47.991	211
648.201	210
V58.107	210
070.904+573.101*	209
204.001 M98210/3	209
745.501	209
S02.201	209
601.101	209
G09  01	208
I49.302	208
C17.001	208
784.003	208
C41.901	208
494  01	208
K29.401	208
977.901	207
S56.802	207
L70.901	207
070.305+573.101*	207
K71.901	206
727.404	205
202.802	205
492  01	205
J20.904	205
959.502	205
M51.301	204
070.301+573.101*	204
E87.802	203
F03  01	203
E87.202	202
Z98.846	202
K62.803	202
V45.832	201
290.001	201
R19.002	201
S52.004	201
N47  01	201
D39.102	201
202.803	200
V58.103	200
473.001	199
O03.903	199
Z97.501	199
813.005	199
D27  01	198
Z96.602	197
S61.904	197
J37.003	196
493.905	196
S82.803	196
Z95.402	196
C77.901	195
K92.202	194
D50.901	194
L02.302	193
174.901	192
845.101	192
300.101	192
S32.401	191
782.401	191
845.002	190
E87.001	190
J32.901	190
R18  01	190
V43.301	190
K37  01	189
V45.846	189
C25.001	189
R22.101	189
070.310+573.101*	189
536.807	189
S20.201	189
I42.201	188
X12.901	188
Z09.001	188
820.003	187
786.303	187
R02  02	187
T24.001	187
S59.903	187
644.101	187
A16.505	187
I47.104	187
824.001	187
E918  01	187
I21.902	186
372.401	186
W10.901	186
